Date, User Agent
Thu Feb 05 2015 21:28:55 GMT-0500 (EST) , Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/40.0.2214.94 Safari/537.36
Thu Feb 05 2015 21:28:56 GMT-0500 (EST) , Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/40.0.2214.94 Safari/537.36
Thu Feb 05 2015 21:30:21 GMT-0500 (EST) , Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/40.0.2214.94 Safari/537.36
Thu Feb 05 2015 21:30:21 GMT-0500 (EST) , Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/40.0.2214.94 Safari/537.36
